time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
207935.0,-0.19,-0.09,-0.19,27.5,27.75,-3.36,0.0
207960.0,-0.28,-0.19,-0.28,27.5,27.75,-1.12,0.0
207985.0,-0.28,-0.09,-0.19,27.5,27.75,0.0,0.0
208010.0,0.09,-0.19,0.09,27.5,27.75,-1.12,0.0
208035.0,0.0,-0.09,-0.28,27.5,27.75,-2.24,0.0
208060.0,-0.09,-0.28,-0.19,27.5,27.75,-3.36,0.0
208085.0,-0.09,0.0,-0.19,27.5,27.75,1.12,0.0
208110.0,-0.09,-0.19,0.0,27.5,27.75,1.12,0.0
208135.0,-0.19,-0.09,-0.19,27.5,27.75,-4.48,0.0
208160.0,-0.19,-0.09,-0.19,27.5,27.75,-4.48,0.0
208185.0,-0.28,-0.19,-0.19,27.25,28.0,-2.24,0.0
208210.0,0.46,-0.19,-0.09,27.25,28.0,-3.36,0.0
208235.0,0.0,-0.28,0.56,27.25,28.0,-2.24,0.0
208260.0,-0.09,0.0,-0.19,27.25,28.0,-2.24,0.0
208285.0,-0.09,-0.19,-0.19,27.25,28.0,-2.24,0.0
208310.0,-0.09,0.0,-0.09,27.25,28.0,-2.24,0.0
208335.0,-0.19,-0.09,0.09,27.25,28.0,-3.36,0.0
208360.0,-0.19,-0.19,-0.37,27.25,28.0,-1.12,0.0
208385.0,-0.19,0.0,-0.28,27.25,28.0,2.24,0.0
208410.0,0.37,-0.09,-0.19,27.25,28.0,-1.12,0.0
208435.0,0.0,0.09,0.09,27.25,28.0,-2.24,0.0
208460.0,-0.09,-0.19,-0.19,27.25,28.0,-3.36,0.0
208485.0,-0.19,0.46,-0.19,27.25,28.0,-2.24,0.0
208510.0,-0.28,-0.19,-0.09,27.25,28.0,2.24,0.0
208535.0,-0.19,-0.28,0.09,27.25,28.0,-2.24,0.0
208560.0,-0.19,-0.09,-0.19,27.25,28.0,-7.84,0.0
208585.0,-0.19,-0.19,-0.28,27.25,28.0,-3.36,0.0
208610.0,0.19,0.09,-0.19,27.25,28.0,0.0,0.0
208635.0,0.0,-0.19,-0.09,27.25,28.0,-3.36,0.0
208660.0,-0.09,0.56,0.28,27.25,28.0,-2.24,0.0
208685.0,-0.19,-0.09,-0.19,27.75,27.5,-2.24,0.0
208710.0,-0.19,-0.19,-0.09,27.75,27.5,-4.48,0.0
208735.0,-0.28,0.0,0.0,27.75,27.5,-3.36,0.0
208760.0,-0.28,-0.19,0.37,27.75,27.5,0.0,0.0
208785.0,-0.09,0.09,-0.19,27.75,27.5,-2.24,0.0
208810.0,-0.09,-0.19,-0.19,27.75,27.5,-4.48,0.0
208835.0,0.0,0.37,-0.19,27.75,27.5,1.12,0.0
208860.0,-0.09,-0.09,0.0,27.75,27.5,-4.48,0.0
208885.0,-0.28,-0.19,-0.28,27.75,27.5,-4.48,0.0
208910.0,-0.28,-0.09,-0.19,27.75,27.5,-5.6,0.0
208935.0,-0.19,-0.28,-0.19,27.25,28.0,0.0,0.0
208960.0,-0.28,0.0,0.09,27.25,28.0,-2.24,0.0
208985.0,0.46,-0.19,-0.28,27.25,28.0,-3.36,0.0
209010.0,0.0,0.09,-0.19,27.25,28.0,0.0,0.0
209035.0,-0.09,-0.19,-0.09,27.25,28.0,-3.36,0.0
209060.0,-0.09,-0.19,0.0,27.25,28.0,-3.36,0.0
209085.0,-0.28,-0.09,-0.09,27.25,28.0,-4.48,0.0
209110.0,-0.28,-0.19,-0.19,27.25,28.0,1.12,0.0
209135.0,-0.28,0.0,-0.19,27.25,28.0,-3.36,0.0
209160.0,-0.19,-0.19,-0.09,27.25,28.0,-1.12,0.0
209185.0,0.37,0.0,0.46,27.5,28.0,0.0,0.0
209210.0,0.09,-0.09,-0.28,27.5,28.0,-1.12,0.0
209235.0,-0.09,-0.19,-0.28,27.5,28.0,2.24,0.0
209260.0,-0.19,-0.09,-0.09,27.5,28.0,2.24,0.0
209285.0,-0.19,-0.19,0.19,27.5,28.0,0.0,0.0
209310.0,-0.28,0.0,-0.19,27.5,28.0,-3.36,0.0
209335.0,-0.28,-0.19,-0.19,27.5,28.0,-2.24,0.0
209360.0,-0.19,-0.09,-0.19,27.5,28.0,-3.36,0.0
209385.0,0.0,-0.19,0.09,27.5,28.0,3.36,0.0
209410.0,0.0,0.37,-0.28,27.5,28.0,-3.36,0.0
209435.0,-0.09,-0.09,-0.28,27.5,28.0,1.12,0.0
209460.0,-0.19,-0.19,-0.19,27.5,28.0,-3.36,0.0
209485.0,-0.28,0.0,0.0,27.5,28.0,2.24,0.0
209510.0,-0.37,-0.19,-0.19,27.5,28.0,-3.36,0.0
209535.0,-0.28,0.09,-0.19,27.5,28.0,-3.36,0.0
209560.0,0.46,-0.28,-0.19,27.5,28.0,-2.24,0.0
209585.0,0.0,0.46,-0.09,27.5,28.0,-2.24,0.0
209610.0,0.0,-0.09,0.37,27.5,28.0,-2.24,0.0
209635.0,-0.09,-0.28,-0.28,27.5,28.0,-4.48,0.0
209660.0,-0.19,-0.09,-0.19,27.5,28.0,-3.36,0.0
209685.0,-0.28,-0.19,0.0,27.25,28.0,-3.36,0.0
209710.0,-0.28,0.09,0.28,27.25,28.0,-2.24,0.0
209735.0,-0.28,-0.19,-0.19,27.25,28.0,-3.36,0.0
209760.0,0.46,0.09,-0.19,27.25,28.0,-2.24,0.0
209785.0,0.09,-0.19,-0.19,27.25,28.0,-2.24,0.0
209810.0,-0.09,-0.19,-0.09,27.25,28.0,-4.48,0.0
209835.0,-0.19,-0.09,-0.28,27.25,28.0,-3.36,0.0
209860.0,-0.19,-0.19,-0.28,27.25,28.0,-4.48,0.0
209885.0,-0.28,-0.09,-0.09,27.25,28.0,-1.12,0.0
209910.0,-0.37,-0.19,0.09,27.25,28.0,-2.24,0.0
209935.0,-0.28,0.0,-0.19,27.25,27.5,-2.24,0.0
209960.0,0.09,-0.09,-0.19,27.25,27.5,-4.48,0.0
209985.0,0.09,0.19,-0.19,27.25,27.5,-2.24,0.0
210010.0,-0.09,-0.09,-0.09,27.25,27.5,-3.36,0.0
210035.0,-0.19,-0.19,0.0,27.25,27.5,-4.48,0.0
210060.0,-0.19,-0.09,-0.28,27.25,27.5,0.0,0.0
210085.0,-0.19,-0.09,-0.19,27.25,27.5,-2.24,0.0
210110.0,-0.28,0.09,-0.09,27.25,27.5,-4.48,0.0
210135.0,0.19,-0.19,0.46,27.25,27.5,-3.36,0.0
210160.0,0.0,0.46,-0.28,27.25,27.5,1.12,0.0
210185.0,-0.09,-0.09,-0.28,27.5,27.75,-2.24,0.0
210210.0,-0.09,-0.19,-0.09,27.5,27.75,-4.48,0.0
210235.0,-0.19,-0.09,0.0,27.5,27.75,-4.48,0.0
210260.0,-0.19,-0.19,-0.19,27.5,27.75,-4.48,0.0
210285.0,-0.28,0.09,-0.19,27.5,27.75,-3.36,0.0
210310.0,-0.37,-0.19,-0.19,27.5,27.75,-3.36,0.0
210335.0,0.46,0.37,0.09,27.5,27.75,4.48,0.0
210360.0,0.0,-0.19,-0.19,27.5,27.75,-4.48,0.0
210385.0,-0.09,-0.28,-0.19,27.5,27.75,-4.48,0.0
210410.0,-0.19,-0.09,-0.09,27.5,27.75,-4.48,0.0
210435.0,-0.19,-0.19,0.0,27.25,28.0,-3.36,0.0
210460.0,-0.19,0.0,-0.28,27.25,28.0,-1.12,0.0
210485.0,-0.28,-0.19,-0.28,27.25,28.0,2.24,0.0
210510.0,-0.19,0.09,-0.28,27.25,28.0,-2.24,0.0
210535.0,0.28,-0.19,-0.09,27.25,28.0,-4.48,0.0
210560.0,0.09,-0.09,0.46,27.25,28.0,-3.36,0.0
210585.0,-0.19,-0.09,-0.19,27.25,28.0,-2.24,0.0
210610.0,-0.19,-0.19,-0.19,27.25,28.0,-1.12,0.0
210635.0,-0.28,0.0,-0.09,27.25,28.0,1.12,0.0
210660.0,-0.28,-0.19,0.28,27.25,28.0,0.0,0.0
210685.0,-0.19,0.19,-0.19,27.25,28.0,-3.36,0.0
210710.0,-0.28,-0.19,-0.19,27.25,28.0,-3.36,0.0
210735.0,0.0,0.46,-0.09,27.25,28.0,-3.36,0.0
