time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
442068.0,4.26,4.26,0.09,21.75,22.5,-2.24,0.0
442093.0,4.26,4.45,-0.19,21.5,22.5,-2.24,0.0
442118.0,4.36,4.26,-0.19,21.5,22.5,-3.36,0.0
442143.0,4.26,4.91,-0.09,21.5,22.5,-1.12,0.0
442168.0,4.26,4.26,0.0,21.5,22.5,-3.36,0.0
442193.0,4.17,4.26,0.56,21.5,22.5,-2.24,0.0
442218.0,4.26,4.36,-0.28,21.5,22.5,-4.48,0.0
442243.0,4.17,4.26,-0.19,21.5,22.5,0.0,0.0
442268.0,4.73,4.26,-0.09,21.5,22.5,-5.6,0.0
442293.0,4.45,4.26,0.0,21.5,22.5,-1.12,0.0
442318.0,4.26,4.45,-0.19,21.5,22.5,-3.36,0.0
442343.0,4.26,4.26,-0.19,21.5,21.75,-3.36,0.0
442368.0,4.17,4.91,-0.19,21.5,21.75,-4.48,0.0
442393.0,4.17,4.26,0.19,21.5,21.75,0.0,0.0
442418.0,4.73,4.26,-0.19,21.5,21.75,-7.84,0.0
442443.0,4.45,4.26,-0.19,21.5,21.75,-2.24,0.0
442468.0,4.26,4.26,-0.09,21.5,21.75,-3.36,0.0
442493.0,4.17,4.26,-0.09,21.5,21.75,-2.24,0.0
442518.0,4.17,4.26,0.56,21.5,21.75,-2.24,0.0
442543.0,4.26,4.45,-0.28,21.5,21.75,2.24,0.0
442568.0,4.17,4.26,-0.19,21.5,21.75,-2.24,0.0
442593.0,4.36,4.91,-0.09,21.75,22.5,-2.24,0.0
442618.0,4.26,4.26,0.09,21.75,22.5,-2.24,0.0
442643.0,4.17,4.26,-0.19,21.75,22.5,0.0,0.0
442668.0,4.26,4.26,-0.19,21.75,22.5,-3.36,0.0
442693.0,4.17,4.26,-0.09,21.75,22.5,0.0,0.0
442718.0,4.17,4.26,0.19,21.75,22.5,1.12,0.0
442743.0,4.91,4.26,-0.28,21.75,22.5,0.0,0.0
442768.0,4.45,4.45,-0.28,21.75,22.5,-3.36,0.0
442793.0,4.26,4.26,-0.19,21.75,22.5,4.48,0.0
442818.0,4.17,4.91,0.0,21.75,22.5,2.24,0.0
442843.0,4.17,4.26,0.65,21.75,22.0,-3.36,0.0
442868.0,4.26,4.26,-0.19,21.75,22.0,-2.24,0.0
442893.0,4.36,4.36,-0.19,21.75,22.0,-1.12,0.0
442918.0,4.26,4.26,0.0,21.75,22.0,-3.36,0.0
442943.0,4.26,4.36,0.09,21.75,22.0,-2.24,0.0
442968.0,4.26,4.26,-0.19,21.75,22.0,-3.36,0.0
442993.0,4.17,4.45,-0.09,21.75,22.0,-3.36,0.0
443018.0,4.17,4.26,-0.09,21.75,22.0,2.24,0.0
443043.0,4.26,4.82,0.09,21.75,22.0,-2.24,0.0
443068.0,4.54,4.36,-0.19,21.75,22.0,-1.12,0.0
443093.0,4.26,4.26,-0.19,21.5,21.75,-2.24,0.0
443118.0,4.26,4.26,-0.19,21.5,21.75,-3.36,0.0
443143.0,4.17,4.26,-0.19,21.5,21.75,-3.36,0.0
443168.0,4.17,4.36,0.65,21.5,21.75,-3.36,0.0
443193.0,4.17,4.17,-0.28,21.5,21.75,0.0,0.0
443218.0,4.91,4.45,-0.19,21.5,21.75,-8.96,0.0
443243.0,4.45,4.26,-0.09,21.5,21.75,-4.48,0.0
443268.0,4.26,4.73,0.0,21.5,21.75,-3.36,0.0
443293.0,4.26,4.26,-0.28,21.5,21.75,-3.36,0.0
443318.0,4.26,4.26,-0.19,21.5,21.75,-3.36,0.0
443343.0,4.17,4.26,-0.09,21.5,21.75,-3.36,0.0
443368.0,4.36,4.26,0.09,21.5,21.75,-2.24,0.0
443393.0,4.36,4.36,-0.19,21.5,21.75,-2.24,0.0
443418.0,4.26,4.26,-0.09,21.5,21.75,1.12,0.0
443443.0,4.17,4.45,-0.09,21.5,21.75,-3.36,0.0
443468.0,4.26,4.17,-0.09,21.5,21.75,-2.24,0.0
443493.0,4.17,4.63,0.65,21.5,21.75,0.0,0.0
443518.0,4.26,4.26,-0.28,21.5,21.75,-4.48,0.0
443543.0,4.45,4.26,-0.19,21.5,21.75,-2.24,0.0
443568.0,4.26,4.26,-0.09,21.5,21.75,-7.84,0.0
443593.0,4.26,4.17,0.09,21.75,22.0,-3.36,0.0
443618.0,4.17,4.36,-0.28,21.75,22.0,-2.24,0.0
443643.0,4.17,4.26,-0.09,21.75,22.0,-1.12,0.0
443668.0,4.26,4.45,-0.09,21.75,22.0,-2.24,0.0
443693.0,4.91,4.26,0.09,21.75,22.0,-2.24,0.0
443718.0,4.45,4.54,-0.19,21.75,22.0,-3.36,0.0
443743.0,4.26,4.26,-0.19,21.75,22.0,1.12,0.0
443768.0,4.26,4.36,-0.19,21.75,22.0,0.0,0.0
443793.0,4.26,4.26,-0.09,21.75,22.0,-3.36,0.0
443818.0,4.17,4.17,0.74,21.75,22.0,-3.36,0.0
443843.0,4.26,4.36,-0.19,21.75,22.25,-2.24,0.0
443868.0,4.36,4.17,-0.09,21.75,22.25,-2.24,0.0
443893.0,4.26,4.36,-0.09,21.75,22.25,-3.36,0.0
443918.0,4.17,4.26,0.09,21.75,22.25,-3.36,0.0
443943.0,4.17,4.45,-0.28,21.75,22.25,1.12,0.0
443968.0,4.17,4.26,-0.28,21.75,22.25,-2.24,0.0
443993.0,4.17,4.54,-0.09,21.75,22.25,-3.36,0.0
444018.0,4.63,4.26,0.19,21.75,22.25,-3.36,0.0
444043.0,4.45,4.26,-0.19,21.75,22.25,-2.24,0.0
444068.0,4.26,4.26,-0.28,21.75,22.25,-3.36,0.0
444093.0,4.17,4.26,-0.19,21.0,22.25,2.24,0.0
444118.0,4.26,4.45,0.0,21.0,22.25,-1.12,0.0
444143.0,4.26,4.26,0.56,21.0,22.25,2.24,0.0
444168.0,4.82,4.45,-0.19,21.0,22.25,-1.12,0.0
